risk_tier,grade,total_loans,default_rate_pct
Critical Risk,E,146,51.37
Critical Risk,F,38,50.0
Critical Risk,G,4,50.0
Critical Risk,D,321,38.01
Critical Risk,C,151,22.52
Critical Risk,B,9,11.11
High Risk,G,245,62.04
High Risk,F,1109,56.54
High Risk,E,3976,46.73
High Risk,D,7813,36.75
High Risk,C,11144,26.35
High Risk,B,4381,15.38
High Risk,A,240,12.08
Low Risk,G,1,100.0
Low Risk,E,23,30.43
Low Risk,D,41,24.39
Low Risk,C,463,23.97
Low Risk,B,2587,11.52
Low Risk,A,8433,4.1
Low Risk,F,1,0.0
Medium Risk,G,93,53.76
Medium Risk,F,419,47.26
Medium Risk,E,1468,40.12
Medium Risk,D,2919,31.55
Medium Risk,C,12983,22.98
Medium Risk,B,21153,13.42
Medium Risk,A,8399,6.52
