loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_util,is_default,fico_score,dti_score,revol_score,grade_score,delinq_score,total_score,risk_tier
3600.0, 36 months,13.99,123.03,C,C4,10+ years,MORTGAGE,55000.0,Not Verified,Fully Paid,debt_consolidation,PA,5.91,0.0,675.0,679.0,7.0,0.0,29.7,0,3,1,2,3,1,10,Medium Risk
24700.0, 36 months,11.99,820.28,C,C1,10+ years,MORTGAGE,65000.0,Not Verified,Fully Paid,small_business,SD,16.06,1.0,715.0,719.0,22.0,0.0,19.2,0,2,2,1,3,2,10,Medium Risk
20000.0, 60 months,10.78,432.66,B,B4,10+ years,MORTGAGE,63000.0,Not Verified,Fully Paid,home_improvement,IL,10.78,0.0,695.0,699.0,6.0,0.0,56.2,0,3,2,3,2,1,11,Medium Risk
10400.0, 60 months,22.45,289.91,F,F1,3 years,MORTGAGE,104433.0,Source Verified,Fully Paid,major_purchase,PA,25.37,1.0,695.0,699.0,12.0,0.0,64.5,0,3,3,3,4,2,15,High Risk
11950.0, 36 months,13.44,405.18,C,C3,4 years,RENT,34000.0,Source Verified,Fully Paid,debt_consolidation,GA,10.2,0.0,690.0,694.0,5.0,0.0,68.4,0,3,2,3,3,1,12,Medium Risk
20000.0, 36 months,9.17,637.58,B,B2,10+ years,MORTGAGE,180000.0,Not Verified,Fully Paid,debt_consolidation,MN,14.67,0.0,680.0,684.0,12.0,0.0,84.5,0,3,2,4,2,1,12,Medium Risk
20000.0, 36 months,8.49,631.26,B,B1,10+ years,MORTGAGE,85000.0,Not Verified,Fully Paid,major_purchase,SC,17.61,1.0,705.0,709.0,8.0,0.0,5.7,0,2,2,1,2,2,9,Medium Risk
10000.0, 36 months,6.49,306.45,A,A2,6 years,RENT,85000.0,Not Verified,Fully Paid,credit_card,PA,13.07,0.0,685.0,689.0,14.0,1.0,34.5,0,3,2,2,1,1,9,Medium Risk
8000.0, 36 months,11.48,263.74,B,B5,10+ years,MORTGAGE,42000.0,Not Verified,Fully Paid,credit_card,RI,34.8,0.0,700.0,704.0,8.0,0.0,39.1,0,2,4,2,2,1,11,Medium Risk
1400.0, 36 months,12.88,47.1,C,C2,3 years,MORTGAGE,64000.0,Not Verified,Fully Paid,other,NC,34.95,0.0,700.0,704.0,17.0,0.0,67.2,0,2,4,3,3,1,13,High Risk
18000.0, 60 months,19.48,471.7,E,E2,7 years,RENT,150000.0,Not Verified,Charged Off,debt_consolidation,CA,9.39,0.0,665.0,669.0,18.0,1.0,40.7,1,3,1,2,4,1,11,Medium Risk
28000.0, 36 months,6.49,858.05,A,A2,10+ years,MORTGAGE,92000.0,Not Verified,Fully Paid,debt_consolidation,NC,21.6,0.0,720.0,724.0,16.0,0.0,64.5,0,2,3,3,1,1,10,Medium Risk
9600.0, 36 months,7.49,298.58,A,A4,8 years,MORTGAGE,60000.0,Not Verified,Fully Paid,credit_card,SC,22.44,0.0,695.0,699.0,7.0,0.0,59.4,0,3,3,3,1,1,11,Medium Risk
25000.0, 36 months,7.49,777.55,A,A4,10+ years,MORTGAGE,109000.0,Not Verified,Fully Paid,debt_consolidation,VA,26.02,0.0,745.0,749.0,9.0,0.0,54.3,0,2,3,3,1,1,10,Medium Risk
18000.0, 60 months,11.99,400.31,C,C1,10+ years,MORTGAGE,112000.0,Not Verified,Fully Paid,debt_consolidation,AZ,8.68,0.0,800.0,804.0,17.0,0.0,15.5,0,1,1,1,3,1,7,Low Risk
8650.0, 36 months,19.89,320.99,E,E3,8 years,RENT,55000.0,Verified,Fully Paid,debt_consolidation,IN,25.49,0.0,675.0,679.0,18.0,1.0,46.0,0,3,3,2,4,1,13,High Risk
29900.0, 60 months,12.88,678.49,C,C2,10+ years,MORTGAGE,65000.0,Verified,Fully Paid,debt_consolidation,MD,21.77,0.0,715.0,719.0,15.0,0.0,46.7,0,2,3,2,3,1,11,Medium Risk
16000.0, 60 months,14.85,379.39,C,C5,10+ years,MORTGAGE,48000.0,Not Verified,Fully Paid,credit_card,SC,33.18,0.0,685.0,689.0,11.0,2.0,29.6,0,3,4,2,3,1,13,High Risk
28000.0, 36 months,13.44,949.38,C,C3,2 years,OWN,125000.0,Source Verified,Fully Paid,debt_consolidation,NY,7.49,0.0,695.0,699.0,6.0,0.0,63.1,0,3,1,3,3,1,11,Medium Risk
5000.0, 36 months,13.44,169.54,C,C3,2 years,RENT,79000.0,Verified,Fully Paid,credit_card,MD,12.7,0.0,665.0,669.0,3.0,0.0,101.5,0,3,2,4,3,1,13,High Risk
6000.0, 36 months,7.49,186.61,A,A4,10+ years,MORTGAGE,100000.0,Not Verified,Fully Paid,debt_consolidation,TX,13.28,1.0,695.0,699.0,9.0,0.0,72.0,0,3,2,3,1,2,11,Medium Risk
4225.0, 36 months,14.85,146.16,C,C5,5 years,RENT,35000.0,Source Verified,Charged Off,debt_consolidation,KS,15.22,2.0,725.0,729.0,6.0,0.0,24.6,1,2,2,1,3,3,11,Medium Risk
20000.0, 36 months,5.32,602.3,A,A1,9 years,OWN,65000.0,Not Verified,Fully Paid,debt_consolidation,NY,18.83,0.0,835.0,839.0,12.0,0.0,3.0,0,1,2,1,1,1,6,Low Risk
16000.0, 60 months,17.97,406.04,D,D4,< 1 year,MORTGAGE,109000.0,Source Verified,Fully Paid,debt_consolidation,NM,23.35,0.0,680.0,684.0,11.0,0.0,87.6,0,3,3,4,4,1,15,High Risk
17600.0, 36 months,5.32,530.03,A,A1,< 1 year,MORTGAGE,88000.0,Source Verified,Fully Paid,credit_card,KS,26.59,0.0,780.0,784.0,20.0,0.0,34.4,0,1,3,2,1,1,8,Low Risk
15000.0, 36 months,5.32,451.73,A,A1,10+ years,MORTGAGE,44000.0,Source Verified,Fully Paid,home_improvement,VA,15.34,0.0,685.0,689.0,7.0,0.0,50.3,0,3,2,3,1,1,10,Medium Risk
16000.0, 36 months,12.88,538.18,C,C2,10+ years,MORTGAGE,65000.0,Not Verified,Charged Off,small_business,AL,18.96,0.0,675.0,679.0,7.0,1.0,54.3,1,3,2,3,3,1,12,Medium Risk
24250.0, 60 months,24.24,701.01,F,F3,4 years,MORTGAGE,75000.0,Not Verified,Charged Off,debt_consolidation,NY,20.84,0.0,660.0,664.0,18.0,0.0,65.3,1,3,3,3,4,1,14,High Risk
12000.0, 36 months,10.78,391.62,B,B4,1 year,RENT,98000.0,Not Verified,Fully Paid,debt_consolidation,WA,24.04,0.0,690.0,694.0,15.0,1.0,62.8,0,3,3,3,2,1,12,Medium Risk
25000.0, 60 months,13.99,581.58,C,C4,9 years,MORTGAGE,79000.0,Not Verified,Charged Off,debt_consolidation,MD,34.53,0.0,730.0,734.0,33.0,0.0,18.6,1,2,4,1,3,1,11,Medium Risk
7000.0, 36 months,7.49,217.72,A,A4,10+ years,MORTGAGE,59000.0,Not Verified,Fully Paid,credit_card,MD,13.06,1.0,730.0,734.0,10.0,0.0,24.2,0,2,2,1,1,2,8,Low Risk
21000.0, 60 months,13.99,488.53,C,C4,< 1 year,RENT,52000.0,Source Verified,Fully Paid,credit_card,OH,14.47,0.0,680.0,684.0,5.0,0.0,87.4,0,3,2,4,3,1,13,High Risk
27500.0, 60 months,14.85,652.06,C,C5,10+ years,MORTGAGE,195000.0,Not Verified,Fully Paid,other,LA,6.79,0.0,700.0,704.0,14.0,0.0,50.9,0,2,1,3,3,1,10,Medium Risk
7200.0, 36 months,11.48,237.36,B,B5,10+ years,MORTGAGE,72500.0,Verified,Fully Paid,home_improvement,GA,8.47,0.0,725.0,729.0,5.0,0.0,35.2,0,2,1,2,2,1,8,Low Risk
20000.0, 36 months,14.85,691.84,C,C5,6 years,RENT,110000.0,Not Verified,Fully Paid,credit_card,IL,12.45,0.0,690.0,694.0,8.0,0.0,84.5,0,3,2,4,3,1,13,High Risk
20000.0, 36 months,15.77,700.88,D,D1,5 years,RENT,70000.0,Not Verified,Fully Paid,house,FL,22.21,0.0,680.0,684.0,24.0,0.0,36.6,0,3,3,2,4,1,13,High Risk
10000.0, 60 months,17.97,253.78,D,D4,2 years,MORTGAGE,55000.0,Not Verified,Charged Off,credit_card,CO,35.7,0.0,685.0,689.0,14.0,0.0,78.0,1,3,4,4,4,1,16,High Risk
20000.0, 36 months,9.8,643.47,B,B3,5 years,RENT,75000.0,Not Verified,Fully Paid,debt_consolidation,WA,23.45,0.0,725.0,729.0,14.0,0.0,9.6,0,2,3,1,2,1,9,Medium Risk
8650.0, 36 months,5.32,260.5,A,A1,< 1 year,MORTGAGE,100000.0,Not Verified,Fully Paid,credit_card,IN,7.28,0.0,750.0,754.0,15.0,0.0,26.7,0,1,1,2,1,1,6,Low Risk
21000.0, 60 months,13.44,482.56,C,C3,2 years,RENT,54649.0,Source Verified,Fully Paid,debt_consolidation,TX,12.14,0.0,670.0,674.0,9.0,1.0,26.8,0,3,2,2,3,1,11,Medium Risk
7200.0, 36 months,15.77,252.32,D,D1,< 1 year,RENT,55000.0,Not Verified,Fully Paid,debt_consolidation,NY,17.35,0.0,680.0,684.0,24.0,1.0,69.0,0,3,2,3,4,1,13,High Risk
8800.0, 36 months,9.8,283.13,B,B3,10+ years,MORTGAGE,92000.0,Source Verified,Fully Paid,credit_card,MI,5.18,0.0,665.0,669.0,9.0,0.0,76.6,0,3,1,4,2,1,11,Medium Risk
2500.0, 36 months,17.27,89.47,D,D3,10+ years,MORTGAGE,50000.0,Verified,Fully Paid,other,FL,17.6,3.0,670.0,674.0,7.0,0.0,31.1,0,3,2,2,4,4,15,High Risk
11000.0, 36 months,9.17,350.67,B,B2,10+ years,MORTGAGE,69000.0,Not Verified,Fully Paid,credit_card,OH,21.34,0.0,680.0,684.0,9.0,0.0,84.8,0,3,3,4,2,1,13,High Risk
10000.0, 36 months,12.88,336.37,C,C2,4 years,MORTGAGE,91392.0,Not Verified,Fully Paid,house,MO,9.44,0.0,710.0,714.0,13.0,0.0,41.7,0,2,1,2,3,1,9,Medium Risk
28000.0, 60 months,18.49,718.51,D,D5,10+ years,MORTGAGE,75000.0,Verified,Fully Paid,debt_consolidation,IN,31.88,0.0,685.0,689.0,27.0,0.0,51.9,0,3,4,3,4,1,15,High Risk
35000.0, 60 months,11.99,778.38,C,C1,10+ years,MORTGAGE,128000.0,Source Verified,Fully Paid,home_improvement,DC,6.46,0.0,685.0,689.0,17.0,0.0,27.4,0,3,1,2,3,1,10,Medium Risk
7200.0, 36 months,9.17,229.53,B,B2,10+ years,MORTGAGE,50000.0,Not Verified,Fully Paid,debt_consolidation,MA,19.25,0.0,675.0,679.0,13.0,0.0,47.6,0,3,2,2,2,1,10,Medium Risk
